# sheet.fn.coerce.to-number golden corpus (spec §7).
# Format: id<TAB>input<TAB>expected   (TAB-separated; '#'-lines are comments).
#   id        the case id (free text; unique within the file).
#   input     a typed CellValue literal — one of:
#               empty            -> CellValue::Empty
#               n:<f64>          -> CellValue::Number
#               t:<text>         -> CellValue::Text (literal; may be empty after the colon)
#               b:TRUE | b:FALSE -> CellValue::Bool
#               e:<#TOKEN!>      -> CellValue::Error
#   expected  the to_number(input) result — either:
#               n:<f64>          -> Ok(number)
#               e:<#TOKEN!>      -> Err(error)
# This file feeds both the Rust test (sheet_fn_coerce_to_number) and the
# Phase-2 LibreOffice differential oracle.
empty-is-zero	empty	n:0
bool-true-is-one	b:TRUE	n:1
bool-false-is-zero	b:FALSE	n:0
number-identity	n:3.5	n:3.5
number-negative	n:-7	n:-7
text-int	t:42	n:42
text-trimmed	t:  42  	n:42
text-decimal	t:3.14	n:3.14
text-leading-dot	t:.5	n:0.5
text-leading-plus	t:+7	n:7
text-exponent	t:1e5	n:100000
text-negative	t:-2.5	n:-2.5
text-thousands-rejected	t:1,000	e:#VALUE!
text-alpha-rejected	t:abc	e:#VALUE!
text-empty-rejected	t:	e:#VALUE!
text-blanks-rejected	t:   	e:#VALUE!
text-inf-rejected	t:inf	e:#VALUE!
text-nan-rejected	t:NaN	e:#VALUE!
text-underscore-rejected	t:1_000	e:#VALUE!
error-propagates-div0	e:#DIV/0!	e:#DIV/0!
error-propagates-na	e:#N/A	e:#N/A
